id,organization,name,url,opens,deadline,amount,other_benefits,eligibility,area,flags,notes
princeton-university-citp-citp-fellowship-in-technology-policy,Princeton University (CITP),CITP Fellowship in Technology Policy,https://citp.princeton.edu/,Fall,"Dec 8, 2026",Funded — verify amount on website,Two-year tech policy research position with coursework and mentoring at Princeton's CITP. Time commitment: 24.,Bachelor's required; visa sponsorship available; in-person at Princeton; appointment begins ~Sep 1,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",Bachelor's required; position is eligible for employment-related visa sponsorship. Imported from personal research tracker; verify all details before applying.
princeton-university-citp-citp-emerging-scholars-program,Princeton University (CITP),CITP Emerging Scholars Program,https://citp.princeton.edu/programs/emerging-scholars-program,Fall,"Jan 12, 2026",Funded — verify amount on website,Two-year salaried post-baccalaureate research role training emerging scholars in public-interest technology. Time commitment: 24.,Bachelor's required; hired as salaried University staff (research specialist); in-residence at Princeton; notifications mid-April; starts ~Aug 24,AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.",Imported from personal research tracker; verify all details before applying.
institute-for-ai-policy-and-strategy-iaps-ai,Institute for AI Policy and Strategy (IAPS),AI Policy Fellowship,https://www.iaps.ai/fellowship,Annual,Verify,Funded — verify amount on website,"Fully funded ~3-month fellowship for an independent AI policy research project under mentorship, via a DC-based or remote track. No technical background required. Time commitment: 3 months (Summer cohort, incl. 2-week DC residency).","$15,000 (Fellow) or $22,000 (Senior Fellow) stipend; travel/housing & healthcare for DC residency; US work authorization required for DC track (no visa sponsorship), remote track open more broadly.",AI and Tech Policy,,Imported from personal research tracker; verify all details before applying.
internet-law-policy-foundry-the-foundry-ilpf-junior,Internet Law & Policy Foundry (The Foundry),ILPF Junior Fellows Program,https://www.ilpfoundry.us/join/,Annual,Annual (~June),Unfunded / non-monetary,"Unpaid, two-year peer fellowship for early-career attorneys, technologists, and policy professionals working on internet law and technology policy (incl. AI governance), with mentorship and a professional network. Time commitment: 2 years (1yr Junior + 1yr Senior).",Unpaid/volunteer fellowship; selected via competitive review by current Fellows.,AI and Tech Policy,,Imported from personal research tracker; verify all details before applying.
data-science-for-social-good-foundation-rotating-host,Data Science for Social Good Foundation (rotating host univ.),DSSG Summer Fellowship,https://dssgfellowship.org/,Verify,~Early March 2027 (est.),Funded — verify amount on website,"Project-based summer fellowship pairing technical fellows in small teams with government/nonprofit partners to build and ship data science/ML solutions to social-impact problems. Time commitment: 10 weeks, full-time, in-person.","Paid stipend covering travel/housing/expenses; restricted to currently-enrolled graduate students at US universities; no visa sponsorship; in-person required, no remote option.",Data Analysis,,Eligibility unclear — verify on website. Imported from personal research tracker; verify all details before applying.
fao-schwarz-family-foundation-fao-schwarz-fellowship-in,FAO Schwarz Family Foundation,FAO Schwarz Fellowship in Social Impact,https://www.faoschwarzfellowship.org/,"Nov 1, 2026","Feb 1, 2027",Funded — verify amount on website,"Paid, two-year, full-time fellowship placing recent college graduates in front-line staff roles at leading nonprofits in Boston, NYC, and Philadelphia, with cohort-based leadership training. Time commitment: 2 years.","Total compensation ~$96,000-$110,000 (location-dependent) plus benefits over 2 years; must be graduating an accredited 4-year college/university between Nov 2026-Summer 2027; US work authorization required for full term.",Nonprofit Governance,"Open to undergraduate students, as well as graduate students/professionals, per source.",Imported from personal research tracker; verify all details before applying.
national-urban-fellows-inc-national-urban-fellows-fellowship,"National Urban Fellows, Inc.",National Urban Fellows Fellowship,https://nuf.org/,Annual,Annual,Funded — verify amount on website,"14-month, full-time graduate fellowship for early-to-mid-career professionals pursuing leadership careers in government, nonprofit, philanthropic, and corporate sectors; includes an MPA or Master of Policy Management degree plus a 9-month mentorship placement. Time commitment: 14 months.","$25,000 stipend over 14 months + health insurance, book stipend, relocation assistance, full tuition; requires US citizenship/LPR/DACA, bachelor's degree, 5+ years professional experience by Jan 1 of application year.",Nonprofit Governance,,Imported from personal research tracker; verify all details before applying.
national-academy-of-education-naed-naedspencer-postdoctoral-fellowship,National Academy of Education (NAEd),NAEd/Spencer Postdoctoral Fellowship,https://naeducation.org/naed-spencer-postdoctoral-fellowship/,"Aug 1, 2026",Fall 2026,Funded — verify amount on website,"Annual award funded by the Spencer Foundation providing $70,000 plus mentorship and professional development to ~25 exceptional early-career scholars conducting postdoctoral research relevant to education. Time commitment: 1 academic year full-time, or 2 years half-time.","$70,000 stipend (2 installments); must have received PhD/EdD or equivalent between Jan 1, 2021 and Dec 31, 2025; not tenured at time of application; open worldwide.",Education Research,,Eligibility unclear — verify on website. Added 2026-06-30; distinct from existing NAEd/Spencer Dissertation Fellowship (this is the postdoctoral tier); source: https://naeducation.org/naed-spencer-postdoctoral-fellowship/. Imported from personal research tracker; verify all details before applying.
international-literacy-association-ila-jeanne-s-chall-research,International Literacy Association (ILA),Jeanne S. Chall Research Fellowship,https://www.literacyworldwide.org/get-involved/awards-recognition/awards-grants/ila-jeanne-s-chall-research-fellowship,Verify,Feb 2027 (est.),Funded — verify amount on website,"Awards up to $5,000 to doctoral students and graduate researchers conducting dissertation or independent research on reading acquisition, readability, reading difficulty, and related literacy topics. Time commitment: Project completed within 2 years of award; funds in 3 installments.","Up to $5,000, paid in 3 installments (45%/45%/10%); applicant must be an ILA member in good standing through ~1 year post-award.",Education Research,,Imported from personal research tracker; verify all details before applying.
presidents-commission-on-white-house-fellowships-white-house,Presidents Commission on White House Fellowships,White House Fellowship,https://whff.org/apply/,Fall 2026,Verify,Funded — verify amount on website,"Prestigious one-year US federal leadership program placing a small cohort of selected Americans as full-time, paid government employees working directly for Cabinet Secretaries, the Vice President, or senior White House staff. Time commitment: 12 months.",Paid at GS-14 Step 3 federal salary; must be a US citizen with a completed undergraduate degree; federal employees ineligible except active-duty military.,Public Policy and Government,,Eligibility unclear — verify on website. Added 2026-06-30; next actionable cycle is 2027-28 (2026-27 window already closed); source: https://whff.org/apply/. Imported from personal research tracker; verify all details before applying.
american-political-science-association-apsa-apsa-congressional-fellowship,American Political Science Association (APSA),APSA Congressional Fellowship Program,https://apsanet.org/programs/congressional-fellowship-program/,Fall 2027,Verify,Funded — verify amount on website,"Highly selective, nonpartisan program running since 1953 that places political scientists, journalists, and federal employees in congressional staff offices for a year-long, hands-on immersion in how Congress works. Time commitment: ~9-10 months (November-August, incl. orientation).","~$66,000 stipend (2025-26 class, may vary by cycle); PhD completed within last 15 years or dissertation defense by November of fellowship year (PoliSci track), journalists need ~2-10 years experience; no visa sponsorship.",Public Policy and Government,,Added 2026-06-30; next actionable cycle is 2027-28 (2026-27 window already closed); source: https://apsanet.org/programs/congressional-fellowship-program/. Imported from personal research tracker; verify all details before applying.
national-academies-of-sciences-engineering-and-medicine-christine,"National Academies of Sciences, Engineering, and Medicine",Christine Mirzayan Science & Technology Policy Graduate Fellowship Program,https://mirzayanfellow.nas.edu/,Verify,Verify,Funded — verify amount on website,"12-week, full-time, in-person policy fellowship at the National Academies in Washington, DC, placing graduate students/recent graduates with mentors to learn how science and technology inform national policy. Time commitment: 12 weeks.","$11,000 stipend (paid week 1) plus round-trip travel; must be a current graduate student in dissertation phase or have earned that degree within last 5 years; must already be US-based, no visa sponsorship.",Public Policy and Government,,Eligibility unclear — verify on website. Imported from personal research tracker; verify all details before applying.
coro-center-for-civic-leadership-coro-fellows-program,Coro Center for Civic Leadership,Coro Fellows Program in Public Affairs,https://corofellowship.org/,Fall 2026,January 2027,Funded — verify amount on website,"Full-time, graduate-level experiential leadership-training fellowship for recent graduates and early-career professionals, combining field placements, seminars, and cross-sector projects across government, business, labor, and nonprofit sectors. Time commitment: 9 months (7 months for Bay Area center).","Tuition-free; need-based monthly stipends (e.g. LA up to $2,200/mo, Bay Area up to $3,000/mo) plus health-insurance allowance; must hold a conferred bachelor's degree; full-time commitment, no outside employment; willingness to relocate to host city.",Public Policy and Government,,"Added 2026-06-30; operates as independently-run regional centers (LA/SF/NYC/Pittsburgh/STL), each with its own application portal; source: https://corofellowship.org/. Imported from personal research tracker; verify all details before applying."
federation-of-american-scientists-fas-fas-impact-fellowship,Federation of American Scientists (FAS),FAS Impact Fellowship,https://fas.org/talent-hub/impact-fellowship/,Rolling,Rolling,Funded — verify amount on website,"Placement fellowship embedding scientific and technical talent (incl. AI, energy, education, and national-security specialists) in high-impact federal government roles via FAS's Day One Talent Hub. Time commitment: Typically 1 year (extensions possible).","Compensation set per posted role (examples seen: $75,000-$174,000 federal salary bands); contractors additionally receive $2,000/month for health/living expenses; eligibility is role-specific.",Public Policy and Government,,Eligibility unclear — verify on website. Added 2026-06-30; ongoing roster of government-placement openings rather than a single annual cohort; source: https://fas.org/talent-hub/impact-fellowship/. Imported from personal research tracker; verify all details before applying.
open-technology-fund-otf-digital-integrity-fellowship-program,Open Technology Fund (OTF),Digital Integrity Fellowship Program (DIFP),https://www.opentech.fund/fellowships/,Verify,~Spring 2027 (est.),Funded — verify amount on website,Embeds an individual digital-security technologist full-time with an at-risk civil-society organization to run hands-on threat assessments and build/implement real security tooling and infrastructure. Time commitment: Up to 12 months.,"$5,000/month stipend for up to 12 months, plus a one-time $5,000 stipend for the partner organization's security equipment/subscriptions.",Data Analysis,,Eligibility unclear — verify on website. Added 2026-06-30; distinct from OTF's Information Controls Fellowship Program (already tracked) which funds research/writing rather than hands-on security engineering; source: https://www.opentech.fund/fellowships/. Imported from personal research tracker; verify all details before applying.
github-inc-github-secure-open-source-fund,"GitHub, Inc.",GitHub Secure Open Source Fund,https://github.com/open-source/github-secure-open-source-fund,Rolling,Rolling,Funded — verify amount on website,"Funds and trains individual open-source maintainers (or small teams up to 3) to harden the security of widely-used open-source software, combining direct cash funding with hands-on security education and mentorship. Time commitment: 3-week structured program; funding/mentorship disbursed over 12 months.","$10,000 total per project ($6,000 during program, $2,000 at 6-month check-in, $2,000 at 12-month check-in); applicant must be 18+, an existing maintainer of an adopted open-source project, in a GitHub Sponsors-supported region.",Data Analysis,"Open to undergraduate students, as well as graduate students/professionals, per source.",Imported from personal research tracker; verify all details before applying.
nlnet-foundation-ngi-zero-grants-next-generation-internet,NLnet Foundation,NGI Zero Grants (Next Generation Internet program),https://nlnet.nl/funding.html,Rolling (general call expected to reopen Fall 2026),"Aug 1, 2026",Funded — verify amount on website,"Direct, hands-on engineering grants to individual developers (not just organizations) building free/libre/open-source internet technology in the public interest. Time commitment: Project-based, typically 6-18 months.","EUR 5,000-50,000 per project (scalable up to EUR 500,000 lifetime per recipient); explicitly open to individuals, not just organizations; deliverables must be free/libre/open-source.",Data Analysis,"Open to undergraduate students, as well as graduate students/professionals, per source.","Added 2026-06-30; NGI Zero Commons Fund's general call closed 2026-06-01, two specialized tracks (Taler, Fediversity) remain open through Aug 2026; source: https://nlnet.nl/funding.html. Imported from personal research tracker; verify all details before applying."
successif-ai-policy-strategy-fellowship,Successif,AI Policy Strategy Fellowship,https://www.successif.org/fellowship,Verify,Verify,Unfunded / non-monetary,"Free, part-time, remote fellowship helping professionals at the intersection of AI safety and policy translate research into real-world policy action through cohort workshops, mentorship, and a capstone op-ed/project. Time commitment: 17 weeks total (10 weeks structured content/workshops + 7 weeks independent capstone), part-time (~4 hours/week).",No stipend; free to participate; top capstone submissions receive monetary prizes; fully remote; ~4 hrs/week; no explicit language excluding current students.,AI and Tech Policy,,"Eligibility unclear — verify on website. Confirmed via successif.org. Part-time, doesn't explicitly exclude students - passes scope rules. Added 2026-06-30 (batch 2); source: https://www.successif.org/fellowship. Imported from personal research tracker; verify all details before applying."
foundation-for-american-innovation-center-for-a-new,Foundation for American Innovation / Center for a New American Security / Horizon Institute (joint),AI Policy Leadership Network (APLN),https://www.aipolicyleaders.net/,Unknown (prior cycle ~Nov 2025),Annual; next cycle TBD,Funded — verify amount on website,"Part-time network convening ~25 experienced AI policy professionals for off-the-record discussions with senior officials, explicitly seeking participants across the political spectrum (bipartisan, not ideological). Time commitment: ~4.5 months, part-time (monthly evening sessions in DC + one Bay Area study trip).","Program expenses funded, no personal stipend; requires 6-25 years professional experience with 4+ years in AI-policy work; no explicit student exclusion, BUT the experience bar makes it impractical for someone currently in a degree program.",AI and Tech Policy,,Eligibility unclear — verify on website. CAUTION: passes the letter of the no-student-exclusion rule (nothing explicitly bars students) but the 4+ years AI-policy-experience requirement is a de facto high bar - flag for owner's judgment on practical fit. Added 2026-06-30 (batch 2); source: https://www.aipolicyleaders.net/. Imported from personal research tracker; verify all details before applying.
existential-risk-alliance-era-cambridge-eraai-fellowship,Existential Risk Alliance (ERA),Cambridge ERA:AI Fellowship,https://erafellowship.org/fellowship,Unknown (next cycle not yet announced),Verify,Funded — verify amount on website,"Funded, full-time summer research fellowship in Cambridge UK with a dedicated AI governance track, pairing fellows with mentors for an independent (non-dissertation) research project on AI risk/governance; open to any career stage worldwide, no PhD or university affiliation required. Time commitment: 10 weeks, full-time, in-person Cambridge UK.","Salary equivalent to GBP 34,125/year prorated, plus accommodation, meals, visa support, travel costs covered. Full-time but Type=Research Fellowships so not subject to the part-time rule.",AI and Tech Policy,,Formerly the CERI Fellowship. Hosted with University of Cambridge centers but does not require Cambridge enrollment. Source: erafellowship.org. Added 2026-06-30 (batch 2); source: https://erafellowship.org/fellowship. Imported from personal research tracker; verify all details before applying.
ai-safety-camp-aisc-ai-safety-camp,AI Safety Camp (AISC),AI Safety Camp,https://www.aisafety.camp/,Unknown (AISC13 dates not yet announced),Verify,Funding status unclear — verify on website,"Free, part-time, fully virtual collaborative research program; includes an AI governance/policy track (compute governance, AI regulation projects) alongside technical safety tracks, open globally with no institutional/degree restrictions. Time commitment: ~3 months, part-time (10 hrs/week minimum).","No cost to participate; no guaranteed stipend (small stipends historically only when grant-funded, prioritized for low-income-country participants); fully remote; 10 hrs/week minimum.",AI and Tech Policy,"Open to undergraduate students, as well as graduate students/professionals, per source.","Informally organized, volunteer-run (no single incorporated parent org). Source: aisafety.camp. Added 2026-06-30 (batch 2); source: https://www.aisafety.camp/. Imported from personal research tracker; verify all details before applying."
william-t-grant-foundation-research-grants-on-reducing,William T. Grant Foundation,Research Grants on Reducing Inequality,https://wtgrantfoundation.org/funding/research-grants-on-reducing-inequality,Verify,"Jul 29, 2026",Funded — verify amount on website,Funds research studies (any investigator career stage) examining programs/policies/practices that reduce inequality in outcomes for young people ages 5-25 in the US. No doctorate/career-stage requirement imposed by the foundation. Time commitment: Major grants: 2-3 years; Officers' grants: 1-2 years. Not a residency/placement - investigators continue regular appointments.,"Major Research Grants: $100,000-$600,000 over 2-3 years. Officers' Research Grants: $25,000-$50,000 over 1-2 years. Funds go to tax-exempt (501c3) organizations, not individuals directly.",Education Research,,Distinct from William T. Grant Scholars Program and Institutional Challenge Grant already tracked. Source: wtgrantfoundation.org. Added 2026-06-30 (batch 2); source: https://wtgrantfoundation.org/funding/research-grants-on-reducing-inequality. Imported from personal research tracker; verify all details before applying.
institute-for-educational-leadership-iel-education-policy-fellowship,Institute for Educational Leadership (IEL),Education Policy Fellowship Program (EPFP),https://iel.org/our-work/epfp/,Rolling (cohort-based),2026-07-10 (Community Schools cohort),Unfunded / non-monetary,"Long-running, part-time professional-development fellowship in education policy/leadership/coalition-building, culminating in a Washington Policy Seminar and Capitol Hill Day. Time commitment: 8-week program, part-time/online, designed alongside a regular job.","Tuition $749 (fellow or employer pays); travel for the in-person seminar not included. National page doesn't explicitly require full-time employment/completed degree or bar students, but eligibility language centers on 'professionals' - recommend confirming directly before relying on student eligibility.",Education Research,,Eligibility unclear — verify on website. Note: some state-affiliated EPFP chapters (e.g. CA) DO explicitly require full-time professional position - only the national IEL program was evaluated here. Source: iel.org. Added 2026-06-30 (batch 2); source: https://iel.org/our-work/epfp/. Imported from personal research tracker; verify all details before applying.
national-council-of-teachers-of-english-ncte-research,National Council of Teachers of English (NCTE) Research Foundation,Research Foundation Teacher Research Grant Program,https://ncte.org/research/research-foundation-teacher-grant-program/,September 2027 (next call; biennial cycle in odd years),~December 2027 (est.),Funded — verify amount on website,"Grants up to $3,000 to support classroom-based teacher research projects on teaching/learning of language, literacy, and culture. Time commitment: Up to 1 year; recipient must be a full-time classroom teacher throughout the grant period.","Up to $3,000. Must be a current full-time K-12 classroom teacher and NCTE member.",Education Research,,"LIKELY MISMATCH: requires being a current full-time K-12 classroom teacher, which doesn't match the tracker owner's actual career profile (AI policy/data engineering, not K-12 teaching) - flagging for likely strike despite passing the formal scope rules. Source: ncte.org. Added 2026-06-30 (batch 2); source: https://ncte.org/research/research-foundation-teacher-grant-program/. Imported from personal research tracker; verify all details before applying."
nea-foundation-learning-leadership-grants,NEA Foundation,Learning & Leadership Grants,https://www.neafoundation.org/educator-grants-and-fellowships/learning-leadership-grants/,2026-06-15 (current cycle),"Sep 15, 2026",Funded — verify amount on website,"Grants up to $5,000 to individual educators for professional-learning experiences, classroom inquiry, or leadership projects. Time commitment: 12-month grant period, alongside recipient's regular full-time job.","Up to $5,000. Must be a current NEA member employed at a public school or public institution of higher education.",Education Research,,"LIKELY MISMATCH: requires current NEA membership + employment at a public school/higher-ed institution, which doesn't match the tracker owner's actual career profile - flagging for likely strike despite passing formal scope rules. Source: neafoundation.org. Added 2026-06-30 (batch 2); source: https://www.neafoundation.org/educator-grants-and-fellowships/learning-leadership-grants/. Imported from personal research tracker; verify all details before applying."
the-harry-s-truman-scholarship-foundation-harry-s,The Harry S. Truman Scholarship Foundation,Harry S. Truman Scholarship,https://www.truman.gov/apply,Annual (institutional nomination opens in fall),"Feb 2, 2027",Funded — verify amount on website,"Federally chartered, nonpartisan scholarship for college juniors with strong public/community service records committed to careers in government or public service; funds graduate school plus Scholar programming/mentoring. Time commitment: One-time merit award toward graduate study; nomination/selection runs ~Sept-May of junior year.","Up to $30,000 for graduate school; nominated by degree-granting institution (any accredited 4-yr US institution, not restricted to one school); US citizen/national; must be a college junior with public/community service record.",Public Policy and Government,"Open to undergraduate students, as well as graduate students/professionals, per source.",Distinct from Truman National Security Project's Truman Fellowship already tracked (different org). Source: truman.gov. Added 2026-06-30 (batch 2); source: https://www.truman.gov/apply. Imported from personal research tracker; verify all details before applying.
public-policy-and-international-affairs-program-ppia-ppia,Public Policy and International Affairs Program (PPIA),PPIA Junior Summer Institute (JSI) Fellowship,https://www.ppiaprogram.org/JSI,Late 2026,Unknown (2027 not yet announced),Funded — verify amount on website,"Fully funded 7-week summer institute preparing rising college seniors for graduate study/careers in public policy, hosted rotating at Harvard Kennedy School, Princeton, or Michigan's Ford School. Time commitment: 7-week summer institute (academic program, not paid employment).","Full tuition, housing/meals, course materials, GRE prep, $1,000-2,000 stipend depending on host site, travel reimbursement; applicant must be a current undergraduate junior graduating Dec 2026-Aug 2027 at any US institution.",Public Policy and Government,"Open to undergraduate students, as well as graduate students/professionals, per source.","Applicants apply nationally from any US college, not restricted to one institution. Source: ppiaprogram.org. Added 2026-06-30 (batch 2); source: https://www.ppiaprogram.org/JSI. Imported from personal research tracker; verify all details before applying."
partnership-for-public-service-excellence-in-government-fellows,Partnership for Public Service,Excellence in Government Fellows Program,https://ourpublicservice.org/course/excellence-in-government-fellows-program/,Rolling/Annual (fall cohort),~mid-September (fall cohort; confirm exact date),Unfunded / non-monetary,"Part-time, year-long leadership-development program for high-performing federal employees, combining multi-day sessions, executive coaching, and team projects while working full-time in government. Time commitment: 11 months, part-time (six multi-day sessions + ~5hrs/week project work; fellows remain in full-time federal jobs).","$12,900 tuition typically paid by participant's federal agency; applicant must be a current federal employee (GS-14 to GS-15, high-performing GS-13s encouraged); requires supervisor letter/agency support.",Public Policy and Government,,"Eligibility unclear — verify on website. CAUTION: eligibility built around current full-time federal employment, not academic status - doesn't technically exclude students but practically requires already being a federal employee. Source: ourpublicservice.org. Added 2026-06-30 (batch 2); source: https://ourpublicservice.org/course/excellence-in-government-fellows-program/. Imported from personal research tracker; verify all details before applying."
google-llc-google-summer-of-code-gsoc,Google LLC,Google Summer of Code (GSoC),https://summerofcode.withgoogle.com/,Annual (2027 cycle dates not yet announced),2026 cycle closed 2026-03-31; next cycle 2027 TBD,Funded — verify amount on website,"Google-funded stipend program pairing contributors with established open-source organizations (many in scientific computing, data tooling, infrastructure) for a defined hands-on coding project merged into production open-source projects. Time commitment: 12 weeks standard (flexible 8-22 weeks); part-time/project-based.","18+, eligible to work in country of residence, not in a US-embargoed country. Stipend $750-$6,600 (PPP-adjusted), 45%/55% installments. Open to 'students or open source beginners' - not restricted to enrolled students.",Data Analysis,"Open to undergraduate students, as well as graduate students/professionals, per source.","Funds individuals directly via stipend, not employer-based. Source: summerofcode.withgoogle.com. Added 2026-06-30 (batch 2); source: https://summerofcode.withgoogle.com/. Imported from personal research tracker; verify all details before applying."
linux-foundation-lfx-lfx-mentorship,Linux Foundation (LFX),LFX Mentorship,https://mentorship.lfx.linuxfoundation.org/,Fall 2026 postings expected ~mid-July 2026,Estimated ~mid-August 2026,Funded — verify amount on website,"Paid mentee stipends for hands-on contributions to open-source projects across CNCF, LF Networking, LF Decentralized Trust, RISC-V, and other Linux Foundation-hosted programs including cloud-native, data-infrastructure, and developer-tooling. Time commitment: Quarterly terms, ~12 weeks each; part-time/project-based.","18+ at term start, eligible to work in jurisdiction, no prior LF-hosted mentorship completed. Stipend $1,000-$6,600 (PPP-adjusted). Explicitly open to both students AND professionals/career-changers.",Data Analysis,"Open to undergraduate students, as well as graduate students/professionals, per source.",Source: mentorship.lfx.linuxfoundation.org. Added 2026-06-30 (batch 2); source: https://mentorship.lfx.linuxfoundation.org/. Imported from personal research tracker; verify all details before applying.
sovereign-tech-agency-sprind-gmbh-german-federal-agency,"Sovereign Tech Agency (SPRIND GmbH, German federal agency)",Sovereign Tech Fund,https://www.sovereign.tech/programs/fund,Rolling,Rolling,Funded — verify amount on website,"Direct grants to individual maintainers, teams, and companies for developing/maintaining open-source 'digital base technologies' (libraries, package managers, protocols, developer tools). Time commitment: Project-based (several months to ~1 year); not tied to full-time employment.","Open globally to individuals/teams/orgs, EU or not. Minimum total project cost must exceed EUR 50,000 (awards up to ~EUR 1M) - high bar for a solo small project. Code/docs must be OSI/FSF-approved license. Non-equity, non-recourse grant.",Data Analysis,,"Eligibility unclear — verify on website. Distinct from the same agency's separate 'Sovereign Tech Fellowship' (maintainer-in-residence, 2026 window closed) - this is the core rolling Fund grants. Source: sovereign.tech (403 on direct fetch, corroborated via cache). Added 2026-06-30 (batch 2); source: https://www.sovereign.tech/programs/fund. Imported from personal research tracker; verify all details before applying."
numfocus-inc-small-development-grants,"NumFOCUS, Inc.",Small Development Grants,https://numfocus.org/programs/small-development-grants,Estimated ~September 2026 (Round 2),Estimated ~mid-October 2026,Funded — verify amount on website,"Microgrants up to $10,000 to open-source scientific-computing/data-tooling projects (e.g. NumPy, pandas, Jupyter ecosystem) for hands-on code development, documentation, sustainability work. Time commitment: Project-based, completable within one year; part-time/volunteer-compatible.","Up to $10,000 per proposal, max 2 grants/project/year. Applicant's PROJECT must already hold NumFOCUS Fiscally Sponsored or Affiliated status - an unaffiliated individual can't apply directly.",Data Analysis,,"Eligibility unclear — verify on website. Structural barrier: requires an already-NumFOCUS-affiliated project, not just an individual applicant - flag for practical fit. Source: numfocus.org. Added 2026-06-30 (batch 2); source: https://numfocus.org/programs/small-development-grants. Imported from personal research tracker; verify all details before applying."
american-statistical-association-asa-gertrude-m-cox-scholarship,American Statistical Association (ASA),Gertrude M. Cox Scholarship,https://www.amstat.org/your-career/awards/gertrude-m-cox-scholarship,Unknown (typically announced early February),"Mar 1, 2027",Funded — verify amount on website,"Annual scholarship (two $1,000 awards) encouraging women into statistically oriented professions, given to women admitted to full-time graduate statistics programs at any accredited institution. Time commitment: Annual award supporting full-time graduate study (one-time scholarship, not a residency).","Open to WOMEN who are US/Canadian citizens or permanent residents, admitted to full-time graduate statistics study by July 1 of award year; two $1,000 awards/year.",Data Analysis,,"GENDER-RESTRICTED (women only) - not covered by owner's existing exclusion rules, flagging for owner to judge personal eligibility. Not dissertation-specific, not postdoctoral. Source: amstat.org. Added 2026-06-30 (batch 2); source: https://www.amstat.org/your-career/awards/gertrude-m-cox-scholarship. Imported from personal research tracker; verify all details before applying."
georgetown-university-center-for-security-and-emerging-technology,"Georgetown University, Center for Security and Emerging Technology (CSET)",CSET Research Fellow,https://cset.georgetown.edu/careers/,Rolling,Rolling / varies by posting,Funded — verify amount on website,"CSET hires Research Fellows across rotating tracks (AI Applications, CyberAI) to lead policy research on AI/ML development, deployment, and national-security implications. Time commitment: Full-time, hybrid (min 2-3 days/week in DC office); ongoing/rolling position, not a fixed-term cohort.","Requires Master's, JD, or PhD OR 5+ years professional experience (doctorate not strictly required); US work authorization without sponsorship; full-time, hybrid; salary ~$100,000-$120,000.",AI and Tech Policy,,Eligibility unclear — verify on website. CAUTION: functions more like ongoing research-staff hiring (a job) than a single dated fellowship cohort - flag for owner's judgment on whether this belongs in a fellowship tracker. Source: cset.georgetown.edu. Added 2026-06-30 (batch 2); source: https://cset.georgetown.edu/careers/. Imported from personal research tracker; verify all details before applying.
federation-of-american-scientists-fas-with-aspen-institute,"Federation of American Scientists (FAS), with Aspen Institute",Policy Entrepreneurship Fellowship (PEF),https://fas.org/talent-hub/policy-entrepreneurship-fellowship/,Rolling (tied to Day One Project's year-round Open Call),Rolling / Unknown,Funded — verify amount on website,"Six-month, part-time fellowship where participants work as part-time FAS affiliates to advance their own Day One Project policy proposal from idea to real-world traction, with mentoring from FAS experts. Time commitment: 6 months, part-time.","Part-time, $5,000 stipend, 6 months; no published eligibility restrictions or student-exclusion language; no citizenship/work-authorization language published.",Public Policy and Government,"Open to undergraduate students, as well as graduate students/professionals, per source.",Distinct from FAS Impact Fellowship already tracked (that one is a full-time federal placement). Source: fas.org. Added 2026-06-30 (batch 2); source: https://fas.org/talent-hub/policy-entrepreneurship-fellowship/. Imported from personal research tracker; verify all details before applying.
afp-foundation-for-philanthropy-association-of-fundraising-professionals,AFP Foundation for Philanthropy (Association of Fundraising Professionals),Wilson C. 'Bill' Levis Fundraising Research Grant,https://afpglobal.org/research-reports/afp-foundation-philanthropy-research-grants-initiatives,Annual,"Annual (~Oct 31, per program guidelines; a conflicting aggregator source cites Mar 2 - verify directly)",Funded — verify amount on website,"Annual grant funding original research on fundraising performance and philanthropic practice; open to fundraising professionals and researchers, not restricted to any single university, degree level, or career stage. Time commitment: Project-based research grant, not a residency.","Guidelines specify up to $10,000/year per project, paid 50% on signing/50% on final report; 2025 average award was ~$5,900/project. No institution, degree-level, dissertation, or postdoctoral restriction found.",Nonprofit Governance,,Eligibility unclear — verify on website. Amount/deadline figures conflict across sources - recommend confirming exact current-cycle deadline/cap directly on afpglobal.org. Added 2026-06-30 (batch 2); source: https://afpglobal.org/research-reports/afp-foundation-philanthropy-research-grants-initiatives. Imported from personal research tracker; verify all details before applying.
wk-kellogg-foundation-with-center-for-creative-leadership,W.K. Kellogg Foundation (with Center for Creative Leadership),WKKF Community Leadership Network Fellowship,https://wkkfcln.org/,Unknown (Class 5 window not yet announced),Unknown (next class TBD),Funded — verify amount on website,"Leadership-development fellowship for community leaders improving outcomes for children/youth/families; cross-sector program spanning business, government, faith, academia, nonprofit, and philanthropic sectors. Time commitment: 18 months, part-time - six in-person multi-day gatherings + three virtual sessions + ~6-12 hrs/month; designed alongside a fellow's current job.","$20,000 taxable stipend; requires 5+ years relevant professional experience; must reside in contiguous US or bordering Tribal nations. No degree/enrollment-status language found, no explicit student exclusion.",Nonprofit Governance,,"Eligibility unclear — verify on website. Geographic eligibility is broad (multi-state + Tribal nations), not a single-institution restriction. Added 2026-06-30 (batch 2); source: https://wkkfcln.org/. Imported from personal research tracker; verify all details before applying."
